,Company,MarketValue,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,ForbesWebpage,ProfitsPerAsset,ProfitPerRevenue,CountryCode,Latitude,Longitude
128,Country Garden Holdings,35.243,56.733999999999995,5.191,237.36700000000002,129,Financials,Real Estate,Asia,China,China,,Tzar Li,http://www.forbes.com/companies/country-garden-holdings/,0.0218690887949884,0.0914971621955089,CN,40.0495,116.286
129,Capital One Financial,41.225,32.658,5.975,372.538,130,Financials,Consumer Financial Services,North America,United States,Virginia,Virginia,Richard D. Fairbank,http://www.forbes.com/companies/capital-one-financial/,0.0160386323005975,0.18295670279870202,US,38.8895,-77.032
130,Intesa Sanpaolo,45.876999999999995,28.13,4.7780000000000005,900.4830000000001,130,Financials,Regional Banks,Europe,Italy,Italy,,Carlo Messina,http://www.forbes.com/companies/intesa-sanpaolo/,0.00530604131338404,0.16985424813366504,IT,41.8955,12.4823
131,Nissan Motor,33.599000000000004,108.66799999999999,4.395,172.845,132,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Hiroto Saikawa,http://www.forbes.com/companies/nissan-motor/,0.0254274060574503,0.0404442890271285,JP,35.67,139.77
132,Coca-Cola,202.985,31.697,6.434,83.21600000000001,133,Consumer Staples,Beverages,North America,United States,Georgia,Georgia,James Quincey,http://www.forbes.com/companies/coca-cola/,0.0773168621418958,0.20298450957503897,US,38.8895,-77.032
133,Bank of Montreal,50.371,26.233,4.593,614.1759999999999,134,Financials,Major Banks,North America,Canada,Canada,,Darryl White,http://www.forbes.com/companies/bank-of-montreal/,0.00747831240556453,0.17508481683375898,CA,45.4215,-75.6919
134,BBVA-Banco Bilbao Vizcaya,41.641000000000005,28.305,5.535,773.557,135,Financials,Regional Banks,Europe,Spain,Spain,,Cristina De Parias,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,0.007155258112847529,0.195548489666137,ES,40.4167,-3.70327
135,Walgreens Boots Alliance,49.948,136.097,5.1339999999999995,70.434,136,Consumer Staples,Drug Retail,North America,United States,Illinois,Illinois,Stefano Pessina,http://www.forbes.com/companies/walgreens-boots-alliance/,0.0728909333560496,0.0377230945575582,US,38.8895,-77.032
136,Chubb,63.538999999999994,32.635,3.9619999999999997,167.771,137,Financials,Property & Casualty Insurance,Europe,Switzerland,Switzerland,,Evan Greenberg,http://www.forbes.com/companies/chubb/,0.0236155235410172,0.12140340125632001,CH,46.948,7.44821
137,NAB - National Australia Bank,50.665,25.340999999999998,4.221,583.766,138,Financials,Major Banks,Australia,Australia,Australia,,Philip Chronican,http://www.forbes.com/companies/national-australia-bank/,0.007230636933291759,0.16656801231206303,AU,-35.282,149.129
138,Vale,68.274,36.781,7.017,88.167,139,Materials,Iron & Steel,South America,Brazil,Brazil,,Eduardo Bartolomeo,http://www.forbes.com/companies/vale/,0.0795876008030215,0.190777847258095,BR,-15.7801,-47.9292
139,China Pacific Insurance,47.924,54.12,2.718,191.167,140,Financials,Life & Health Insurance,Asia,China,China,,Qing Kong,http://www.forbes.com/companies/china-pacific-insurance/,0.0142179351038621,0.0502217294900222,CN,40.0495,116.286
140,Anthem,61.643,92.095,3.75,71.571,141,Health Care,Managed Health Care,North America,United States,Indiana,Indiana,Gail K. Boudreaux,http://www.forbes.com/companies/anthem/,0.052395523326487004,0.0407188229545578,US,38.8895,-77.032
141,Telefónica,43.277,57.748999999999995,3.72,130.373,141,Telecommunication Services,Telecommunications services,Europe,Spain,Spain,,José María López,http://www.forbes.com/companies/telefonica/,0.028533515375116003,0.0644166998562746,ES,40.4167,-3.70327
142,Christian Dior,89.566,55.243,3.037,88.33200000000001,143,Consumer Discretionary,Apparel/Accessories,Europe,France,France,,Sidney Toledano,http://www.forbes.com/companies/christian-dior/,0.0343816510437893,0.0549752909870934,FR,48.8566,2.35097
143,Generali Group,30.075,92.10700000000001,2.7239999999999998,588.5269999999999,144,Financials,Diversified Insurance,Europe,Italy,Italy,,Philippe Donnet,http://www.forbes.com/companies/generali-group/,0.00462850472450712,0.0295742994560674,IT,41.8955,12.4823
144,Iberdrola,55.653,41.381,3.556,129.219,145,Utilities,Electric Utilities,Europe,Spain,Spain,,José Sánchez,http://www.forbes.com/companies/iberdrola/,0.0275191728770537,0.0859331577293927,ES,40.4167,-3.70327
145,PNC Financial Services,60.202,20.171,5.317,392.837,146,Financials,Major Banks,North America,United States,Pennsylvania,Pennsylvania,William Demchak,http://www.forbes.com/companies/pnc-financial-services/,0.0135348757881768,0.263596252045015,US,38.8895,-77.032
146,GlaxoSmithKline,97.632,41.097,4.831,73.953,147,Health Care,Pharmaceuticals,Europe,United Kingdom,United Kingdom,,Emma Walmsley,http://www.forbes.com/companies/glaxosmithkline/,0.0653252741606155,0.11755115945202801,GB,51.5002,-0.126236
147,Munich Re,36.31,62.872,2.725,311.574,147,Financials,Diversified Insurance,Europe,Germany,Germany,,Joachim Wenning,http://www.forbes.com/companies/munich-re/,0.008745915897988921,0.0433420282478687,DE,52.5235,13.4115
148,Cigna,56.571000000000005,48.61,2.637,154.64,149,Health Care,Managed Health Care,North America,United States,Connecticut,Connecticut,David M. Cordani,http://www.forbes.com/companies/cigna/,0.0170525090532851,0.0542480970993623,US,38.8895,-77.032
149,Medtronic,112.95200000000001,30.555,4.919,88.73,150,Health Care,Medical Equipment & Supplies,Europe,Ireland,Ireland,,Omar Ishrak,http://www.forbes.com/companies/medtronic/,0.0554378451482024,0.160988381606938,IE,53.3441,-6.26749
150,China Everbright Bank,31.826,33.114000000000004,5.115,634.6519999999999,151,Financials,Regional Banks,Asia,China,China,,Haijiao Ge,http://www.forbes.com/companies/china-everbright-bank/,0.00805953498925395,0.154466388838558,CN,40.0495,116.286
151,China Shenhua Energy,57.349,38.403,6.6579999999999995,85.594,152,Materials,Diversified Metals & Mining,Asia,China,China,,Wen Ling,http://www.forbes.com/companies/china-shenhua-energy/,0.0777858261093067,0.173371871989168,CN,40.0495,116.286
